analysis_id,n_persons,person_days,n_events,incidence_start_date,incidence_end_date,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,cohort_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_outcome_washout,analysis_repeated_events,analysis_interval,analysis_complete_database_intervals,denominator_cohort_id,analysis_min_cell_count,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_observation,denominator_start_date,denominator_end_date,denominator_target_cohort_definition_id,denominator_target_cohort_name,gap_era,cdm_name
1,22533,694818,15,2017-01-01,2017-01-31,1902.3080082135523,788.5158415585089,441.326330780018,1300.536966919424,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,22328,622881,14,2017-02-01,2017-02-28,1705.3552361396303,820.9433262533294,448.81735570980544,1377.4034068707256,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,22156,686187,13,2017-03-01,2017-03-31,1878.6776180698153,691.9760939802123,368.44812672626244,1183.300195006249,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,22122,664268,15,2017-04-01,2017-04-30,1818.6666666666667,824.7800586510264,461.62313779966894,1360.3492781242214,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,22150,682153,9,2017-05-01,2017-05-31,1867.6331279945243,481.8933582348828,220.35232914279285,914.7837011096999,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,21851,652224,15,2017-06-01,2017-06-30,1785.6919917864477,840.0104871945833,470.147493039064,1385.4695538358299,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,21663,671316,14,2017-07-01,2017-07-31,1837.9630390143736,761.7128148293799,416.43548394776724,1278.0246731420739,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,21745,667363,10,2017-08-01,2017-08-31,1827.1403148528404,547.3033416596365,262.4532257950128,1006.5103316106816,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,21552,643821,14,2017-09-01,2017-09-30,1762.6858316221767,794.2424990797132,434.21976503077605,1332.60395587445,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
1,21519,665188,11,2017-10-01,2017-10-31,1821.1854893908283,604.0021768282049,301.5157104658014,1080.7267369500862,FALSE,FALSE,1,prevalent_simvastatin,365,FALSE,months,TRUE,1,5,denominator_cohort_1,0 to 150,Both,365,2017-01-01,2021-12-31,NA,None,30,CPRD_GOLD
