group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate,cdm_name,result_type
cohort_name,simvastatin,Overall,Overall,number subjects,NA,numeric,count,60032,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number records,NA,NA,count,60032,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,q05,28,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,q25,64,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,median,104,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,q75,282,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,q95,722,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,max,1460,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,mean,214.855243869936,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,sd,243.311418427522,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,duration,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,q05,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,q25,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,median,2,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,q75,5,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,q95,13,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,max,64,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,mean,3.9941697761194,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,sd,4.94184325119912,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_exposures,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,q05,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,q25,90,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,median,120,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,q75,300,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,q95,771.549999999996,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,max,2040,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,mean,229.965815884236,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,sd,258.272732262731,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,count_missing,48,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,cumulative_quantity,NA,numeric,percentage_missing,0.0799573560767591,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,q05,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,q25,30,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,median,90,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,q75,90,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,q95,90,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,max,540,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,mean,62.9617417547604,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,sd,34.3959786207581,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,count_missing,58,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,initial_quantity,NA,numeric,percentage_missing,0.0966151385927505,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,min,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,q05,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,q25,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,median,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,q75,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,q95,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,max,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,mean,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,sd,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,count_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,impute_duration_percentage,NA,numeric,percentage_missing,0,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,min,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,q05,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,q25,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,median,1,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,q75,3,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,q95,7,PHARMETRICS,Summary drug use
cohort_name,simvastatin,Overall,Overall,number_eras,NA,numeric,max,33,PHARMETRICS,Summary drug use
