analysis_id,prevalence_start_date,prevalence_end_date,n_cases,n_population,prevalence,prevalence_95CI_lower,prevalence_95CI_upper,population_obscured,cases_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_outcome_lookback_days,analysis_type,analysis_interval,analysis_complete_database_intervals,analysis_time_point,analysis_full_contribution,analysis_min_cell_count,denominator_cohort_id,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_observation,denominator_start_date,denominator_end_date,denominator_target_cohort_definition_id,denominator_target_cohort_name,cdm_name
1,2018-01-01,2018-01-31,489,1560920,3.1327678548548295e-4,2.8671713685760237e-4,3.4229590832919983e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-02-01,2018-02-28,461,1561438,2.952406691780269e-4,2.694950926530867e-4,3.2344499274625216e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-03-01,2018-03-31,441,1565793,2.816464245273801e-4,2.5656105157298843e-4,3.091837726376504e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-04-01,2018-04-30,426,1498150,2.8435069919567467e-4,2.5860341609925075e-4,3.126606524741891e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-05-01,2018-05-31,431,1517852,2.839539032791076e-4,2.5838506668903296e-4,3.120521482104587e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-06-01,2018-06-30,420,1524374,2.755229359724057e-4,2.5040579899650523e-4,3.0315870179231674e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-07-01,2018-07-31,398,1519600,2.6191102921821534e-4,2.3741552165965307e-4,2.8893314698601565e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-08-01,2018-08-31,387,1525440,2.5369729389553177e-4,2.2965170125259342e-4,2.8025986525700985e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-09-01,2018-09-30,382,1538684,2.4826410101099383e-4,2.2458760187510693e-4,2.744359415180145e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-10-01,2018-10-31,374,1535186,2.4361868854979137e-4,2.2015049746835637e-4,2.6958792999951534e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-11-01,2018-11-30,362,1546350,2.3409965402399198e-4,2.1119668055254162e-4,2.594856686658319e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2018-12-01,2018-12-31,362,1551930,2.332579433350731e-4,2.1043730981062735e-4,2.5855269438731046e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-01-01,2019-01-31,310,1469396,2.109710384402843e-4,1.887588507621384e-4,2.3579642767136417e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-02-01,2019-02-28,278,1480616,1.8775968921043673e-4,1.66949177544781e-4,2.1116372027313234e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-03-01,2019-03-31,269,1481695,1.8154883427426023e-4,1.6111270726878752e-4,2.0457662423343527e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-04-01,2019-04-30,233,1415129,1.6464930052313253e-4,1.4482318328692452e-4,1.8718908090189026e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-05-01,2019-05-31,219,1418835,1.543519859603125e-4,1.3521945723262018e-4,1.7619114551518865e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-06-01,2019-06-30,206,1292245,1.5941249530855217e-4,1.3908056201293562e-4,1.827161736306811e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-07-01,2019-07-31,207,1276433,1.6217067405809783e-4,1.4153360011437134e-4,1.858162892410231e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-08-01,2019-08-31,207,1283507,1.6127687655774375e-4,1.4075353560004579e-4,1.847921826938342e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-09-01,2019-09-30,202,1286845,1.5697306202378685e-4,1.3676854888358122e-4,1.801618050796314e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-10-01,2019-10-31,200,1282774,1.5591210922578724e-4,1.3575097264946248e-4,1.7906695276888684e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-11-01,2019-11-30,206,1285700,1.6022400248891653e-4,1.3978857394972597e-4,1.836462991613792e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
1,2019-12-01,2019-12-31,196,1290887,1.5183358419443375e-4,1.3201439201315698e-4,1.7462769274542592e-4,FALSE,FALSE,FALSE,1,simvastatin,0,period,months,TRUE,start,FALSE,5,1,Denominator cohort 1,0 to 19,Both,365,2017-01-01,2021-12-31,NA,NA,PHARMETRICS
